number;id;xscales;yscales
11;372a56cac67dbaa6ce4091cd1fdc1159;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.41991951287169477,0.44121957017010166,0.48013510260623554,0.5369628201373478,0.6101453700408753,0.6935630915194205,0.7735771072315061,0.8294889998114924
12;c2f7797bc14d819a0c24c6b87c4e0a1c;0.6898265048464605,0.6898265048464605,0.6898265048464605,0.6898265048464605,0.6898265048464605,0.6898265048464605,0.6898265048464605,0.6898265048464605;0.009051282596696927,0.044818162305257515,0.09916187238007493,0.16018654491998627,0.21782130361668364,0.26550093632613553,0.2997547815188079,0.31908856868984253
13;e4666d7885f2f45be9f58617a3839c55;0.6112425896079019,0.5876890824163542,0.5431255321742157,0.4742411549402182,0.3781512686123591,0.25702650099915714,0.127272939702637,0.027429197631209063;0.8998287307488051,0.8998287307488051,0.8998287307488051,0.8998287307488051,0.8998287307488051,0.8998287307488051,0.8998287307488051,0.8998287307488051
14;b82cb4a2b13b42c5d4a9a76d868c5d30;0.3120690070850749,0.2930238069032198,0.2593248386087646,0.2125100992332553,0.15606410561509607,0.09646837707227439,0.04354397316620477,0.008786417903321546;0.4712659763037593,0.4712659763037593,0.4712659763037593,0.4712659763037593,0.4712659763037593,0.4712659763037593,0.4712659763037593,0.4712659763037593
15;c7a14376ff2627413a7afdb816ee5572;0.8088934034015546,0.8088934034015546,0.8088934034015546,0.8088934034015546,0.8088934034015546,0.8088934034015546,0.8088934034015546,0.8088934034015546;0.019501823735625923,0.09295051100860297,0.1945902415659563,0.2964302503510092,0.3825004239634682,0.44732884794780325,0.4907503479281364,0.5141907235495731
16;a17c9d2e4ea7cce7a03918940cb72d87;0.12648997440076,0.11700721830698319,0.10090042591122246,0.079846172488426,0.05630663133741849,0.03340294893576444,0.014556707720898588,0.0028721439565873143;0.4153767678769331,0.4153767678769331,0.4153767678769331,0.4153767678769331,0.4153767678769331,0.4153767678769331,0.4153767678769331,0.4153767678769331
17;d867dcf7063faaeb15b41bc2985ce00b;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.413037913588837,0.4102605665455686,0.4056330304474276,0.3997488625266315,0.39338153747432897,0.3873901994128262,0.3826042394214845,0.37969983742753133
18;0a96c8d6dc0ed2d3d4032f3df7e72eef;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.586962086411163,0.5897394334544314,0.5943669695525724,0.6002511374733683,0.6066184625256709,0.6126098005871737,0.6173957605785154,0.6203001625724687
19;1917fa1202fd8f18b45641f183544c2f;0.00670877521213326,0.0335705914011038,0.07549001030416182,0.12422658302256012,0.17195905671954523,0.21276320593735729,0.24284621501484577,0.2601188667403633;0.2847364074927201,0.2847364074927201,0.2847364074927201,0.2847364074927201,0.2847364074927201,0.2847364074927201,0.2847364074927201,0.2847364074927201
20;8975ef7df607253689476eae7028baf9;0.04521389372655404,0.19818451864969167,0.37337841839553215,0.5169561758158193,0.6193567003967857,0.6873098204191093,0.7290685817263539,0.7504825964983141;0.7754128090941053,0.7754128090941053,0.7754128090941053,0.7754128090941053,0.7754128090941053,0.7754128090941053,0.7754128090941053,0.7754128090941053
21;96ddb7ad56e07aa198b48366f12c121a;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.8049908055198136,0.757141365465809,0.6810589094373971,0.5903711832728852,0.49913447400613914,0.419169801570612,0.35901243938692107,0.3239988595783583
22;1ebda8d24d83ec4312619f4fe54d034f;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.19500919448018636,0.2428586345341909,0.3189410905626028,0.40962881672711465,0.5008655259938608,0.5808301984293879,0.6409875606130789,0.6760011404216416
23;9e71237cdf2f4382f6a710dd85355af3;0.003023184373177908,0.01538332508093571,0.035528312168262625,0.060364269882509806,0.08630358962689227,0.10986811542970687,0.12813224322574043,0.13898276502328533;0.26731141738318526,0.26731141738318526,0.26731141738318526,0.26731141738318526,0.26731141738318526,0.26731141738318526,0.26731141738318526,0.26731141738318526
24;f98c6489e96a73c08ba73e4e2c799a2f;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.5267999530641226,0.5045840839871447,0.46377617967922863,0.4036708121463485,0.3253542596954541,0.23480643185185937,0.14664595861246912,0.08426633347847617
25;c911783c6f928ba623f2b30bcbf7db83;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.4732000469358774,0.49541591601285523,0.5362238203207712,0.5963291878536514,0.6746457403045457,0.7651935681481405,0.8533540413875309,0.9157336665215239
26;f5f6edafb4b092756eb6acc36ead3b95;0.5693974017371926,0.5693974017371926,0.5693974017371926,0.5693974017371926,0.5693974017371926,0.5693974017371926,0.5693974017371926,0.5693974017371926;0.002669132970260868,0.014086999079481504,0.03463430066416184,0.06393265577509732,0.10047788467821471,0.1405893804412946,0.17760276068264616,0.20266022800209996
27;20d5b2348ee91b6b3810e5cf0f4ce92d;0.462047878739828,0.4401192311849903,0.3997246268536425,0.33995696182459717,0.26159206715170163,0.17029235899266512,0.08067426989550508,0.016826041942564436;0.7053476299503547,0.7053476299503547,0.7053476299503547,0.7053476299503547,0.7053476299503547,0.7053476299503547,0.7053476299503547,0.7053476299503547
28;b37cb180d2e68189e6fbde47a6798268;0.054711780794820135,0.0503118270183518,0.042956040846999985,0.03355788020595054,0.0233309934004999,0.013653413238546762,0.005884510343278172,0.0011531828785804736;0.16536412732936415,0.16536412732936415,0.16536412732936415,0.16536412732936415,0.16536412732936415,0.16536412732936415,0.16536412732936415,0.16536412732936415
29;884353989b8bb9c30d609ebddf84f980;0.38617814306344,0.3663192703147901,0.33288080932678116,0.28971776459526777,0.24217813001818592,0.19663442165498338,0.15967406133996861,0.13698832504465838;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
30;b4a23d916a4dea7cca2f852d9be8ae34;0.61382185693656,0.6336807296852098,0.6671191906732188,0.7102822354047321,0.757821869981814,0.8033655783450165,0.8403259386600314,0.8630116749553416;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
31;a2b50c81e5a508d1e458af5b888a0b93;0.6209704287806918,0.5964871156200637,0.5517862509051048,0.4865810882476839,0.40273363078012675,0.30732863606403626,0.2159853968910965,0.1522548470850336;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
32;164c47bbcbd5b04286fb328de5856aca;0.37902957121930825,0.40351288437993627,0.44821374909489503,0.5134189117523159,0.5972663692198732,0.6926713639359637,0.7840146031089035,0.8477451529149664;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
33;cf81ff07d517b6afd7502217312e91bf;0.745563593643727,0.745563593643727,0.745563593643727,0.745563593643727,0.745563593643727,0.745563593643727,0.745563593643727,0.745563593643727;0.2805611396328135,0.26069202228686594,0.2265319960572432,0.18108022444788816,0.12915962992016902,0.07748603446596397,0.034084080266416635,0.0067643265796605186
34;a7442cb5ceb788b85f4541265c2d9228;0.4099881494399005,0.3858512943323772,0.3428702670447606,0.28257537983000347,0.2089553790435826,0.13011310394834652,0.0591170535681878,0.011980574060295412;0.4812207746743016,0.4812207746743016,0.4812207746743016,0.4812207746743016,0.4812207746743016,0.4812207746743016,0.4812207746743016,0.4812207746743016
35;50ba9f665df9dd61c85ab87c0f7bf910;0.018504164294402378,0.0889006262253357,0.1881942414797367,0.289937295901029,0.37774182087909497,0.44500658986367136,0.4906149000862575,0.5154236148707607;0.6130528525631932,0.6130528525631932,0.6130528525631932,0.6130528525631932,0.6130528525631932,0.6130528525631932,0.6130528525631932,0.6130528525631932
36;b566ef510113cd647bad3bc145e84e77;0.8048204158790168,0.8048204158790168,0.8048204158790168,0.8048204158790168,0.8048204158790168,0.8048204158790168,0.8048204158790168,0.8048204158790168;0.013451643193669392,0.06700698157993758,0.1496209452257168,0.24422427306459193,0.3354061213847559,0.4122237670646221,0.46820415950084165,0.5000990687449457
37;20c52bcb181589ad95c5f4b024558c61;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.9259121867840073,0.826590732473984,0.7012648633124896,0.5879302495031167,0.5004248939680537,0.4389579857260997,0.3997408114846881,0.37918401546743863
38;d7a5d6837f9c315aba8a4e349885aa83;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.07408781321599268,0.17340926752601596,0.2987351366875102,0.41206975049688316,0.4995751060319462,0.5610420142739002,0.6002591885153118,0.6208159845325613
39;56f06f7505611158c3d6ffe66ef4d247;0.9108084756805757,0.9108084756805757,0.9108084756805757,0.9108084756805757,0.9108084756805757,0.9108084756805757,0.9108084756805757,0.9108084756805757;0.059945296425287044,0.25164170227887084,0.45218541012338515,0.6032246029874653,0.7043839315268564,0.7687279147943437,0.8072227587222293,0.8266638789862975
40;a61fbc94b09baa0da2458d866f5caf64;0.7751942326900382,0.7118337791477749,0.6063121264178024,0.47222158040979295,0.327229112927659,0.19090118251295796,0.08207217531546553,0.01605928888669424;0.8542232162445579,0.8542232162445579,0.8542232162445579,0.8542232162445579,0.8542232162445579,0.8542232162445579,0.8542232162445579,0.8542232162445579
41;22be186f872f8cbaa523d21050dfa51f;0.577148087222174,0.577148087222174,0.577148087222174,0.577148087222174,0.577148087222174,0.577148087222174,0.577148087222174,0.577148087222174;0.5152956234141383,0.4921907822449759,0.44929489964024377,0.3850183066286526,0.2992468863668275,0.19711559550709853,0.0944814867368537,0.01987255577981143
42;cee371bd98b2759b60b742397718d489;0.4245962437681702,0.4245962437681702,0.4245962437681702,0.4245962437681702,0.4245962437681702,0.4245962437681702,0.4245962437681702,0.4245962437681702;0.40039045740581436,0.3726989223880564,0.32485848775551623,0.2607458409400342,0.18686046171226492,0.11263106609139627,0.04974056615107973,0.009896295701857525
43;bef983a4bb967c19d064e580e7e4f008;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.9134654159740251,0.8849959984708078,0.8344710862634206,0.7639606362072949,0.6784436545145965,0.5875555914493584,0.5063208694364281,0.4527019474329395
44;4c76c6cf13eb7b9956a657e8f737021d;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.08653458402597483,0.11500400152919206,0.16552891373657927,0.23603936379270496,0.32155634548540335,0.41244440855064146,0.4936791305635718,0.5472980525670604
45;0333c0a570ca9f1991e19402f3694915;0.8992527579010133,0.8992527579010133,0.8992527579010133,0.8992527579010133,0.8992527579010133,0.8992527579010133,0.8992527579010133,0.8992527579010133;0.021115486690392333,0.10419795947283246,0.22935175328851307,0.36836045618092317,0.49818385001814247,0.6045253769050172,0.6803393979262349,0.7229174841738003
46;c9c7dd96d96975131667adc5f0bd2d26;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.7496756394510746,0.7237506225673701,0.6767133525196085,0.6087772849476957,0.5225787543471282,0.42605244827442346,0.3351487580550034,0.27258239043971555
47;b50137aa85ff9cebed4f27b82f3a07d3;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.2503243605489252,0.27624937743262973,0.3232866474803914,0.39122271505230416,0.4774212456528718,0.5739475517255764,0.6648512419449965,0.7274176095602845
48;3124aa9874a34a85e02806c753e10197;0.4843603714854677,0.4615086314590419,0.4193783585305854,0.35695865539391053,0.27496435249017387,0.17921774682203534,0.08500524544309436,0.017744630114111672;0.545722988934477,0.545722988934477,0.545722988934477,0.545722988934477,0.545722988934477,0.545722988934477,0.545722988934477,0.545722988934477
49;4515cd68e1685a674cb064a9c0db25be;0.005728011691836329,0.028660020078145384,0.06443764236617672,0.10601966272823855,0.14673046042569568,0.18152073282449321,0.20716326834640436,0.22188377252358168;0.3439902210348562,0.3439902210348562,0.3439902210348562,0.3439902210348562,0.3439902210348562,0.3439902210348562,0.3439902210348562,0.3439902210348562
50;c4bdbafa0bd0537d5545063ddc66fce6;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.9242558867133747,0.8956304245529454,0.8466962167669837,0.7821301838867722,0.7091239980904263,0.6372459939044968,0.5774666515358007,0.5401120670209301
51;f3b0a2f77790ea4243ffc97965eb7886;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.0757441132866252,0.10436957544705444,0.15330378323301622,0.2178698161132276,0.29087600190957374,0.3627540060955032,0.42253334846419927,0.4598879329790698
52;731f86245b060eb2f33a6d1ab288df7c;0.40511861606938,0.40511861606938,0.40511861606938,0.40511861606938,0.40511861606938,0.40511861606938,0.40511861606938,0.40511861606938;0.008451112533847966,0.04193128251859821,0.09306145152070862,0.15085577975633932,0.20581072642802828,0.25154849326809464,0.28456224594463186,0.30325363615167555
53;17bc027a657a24adc2720d3b5060bcb0;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.6043752865324726,0.5912766949111574,0.5693563988446999,0.5413092435837822,0.5107370693031973,0.4817571156116852,0.458457606443937,0.4442526299742043
54;bc41a9d7ae8c93334716330a896fc71d;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.3956247134675272,0.40872330508884247,0.43064360115530015,0.45869075641621776,0.4892629306968027,0.5182428843883146,0.541542393556063,0.5557473700257956
55;0ff3b68ec2ae3ac476c09c32bda6ba35;0.8114635704952626,0.7586031431612763,0.6801560737146307,0.5946477327144376,0.516289684437749,0.45315607669122837,0.40871196154708284,0.38395490018476525;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
56;88c05c1d492fb317bf8a2e1984f14cf7;0.1885364295047373,0.24139685683872364,0.3198439262853693,0.4053522672855624,0.4837103155622509,0.5468439233087716,0.591288038452917,0.6160450998152346;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
57;ddd48a2a79924b6986956ac59bdee1ad;0.46603355146533937,0.44602682084088424,0.4093831050810276,0.3556603097172855,0.2861019244164023,0.2062966863885733,0.12922351723925318,0.0750591405563707;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
58;722810ebcdc4219799512ce35d381e94;0.5339664485346604,0.5539731791591157,0.5906168949189722,0.6443396902827144,0.7138980755835976,0.7937033136114268,0.8707764827607467,0.9249408594436292;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
59;92d55a1ea0cc01f1c16467d416a937f9;0.03500611863841642,0.15805568133308137,0.30839804041663943,0.4398469631037808,0.5385400727832661,0.6064597506798357,0.649203130630438,0.6714274455179321;0.7490661075563428,0.7490661075563428,0.7490661075563428,0.7490661075563428,0.7490661075563428,0.7490661075563428,0.7490661075563428,0.7490661075563428
60;a10d98a28ca9db9366b473da2bf16297;0.9674798641185607,0.8935982589000474,0.7819719612693131,0.6575174443716874,0.5408364903834944,0.4449346578783822,0.37638355366063414,0.3378185486221808;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
61;043616055292b7b76acaabf976759f08;0.032520135881439274,0.10640174109995248,0.2180280387306868,0.34248255562831253,0.45916350961650565,0.5550653421216176,0.6236164463393657,0.6621814513778188;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
62;5ea66817f942ed3b8ab166bb9c3ba12f;0.7551694776965028,0.7108615247724036,0.6364324876482833,0.540684753702754,0.4356523404338684,0.3354438335178239,0.25441722709297415,0.20481509202497075;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
63;b91f7d4f3d6e90ca1169e596791c6dca;0.24483052230349722,0.2891384752275963,0.36356751235171647,0.4593152462972459,0.5643476595661314,0.6645561664821759,0.7455827729070257,0.7951849079750293;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
64;f87f0151b2214ee42e60ecdd15d0bcb2;0.8292226266683403,0.8292226266683403,0.8292226266683403,0.8292226266683403,0.8292226266683403,0.8292226266683403,0.8292226266683403,0.8292226266683403;0.03723050191080382,0.16959148722453157,0.3345357934502661,0.48174485734106404,0.5941580658700376,0.6724809439742677,0.7221793389162208,0.7481456929886964
65;3eb646bd268db4de11afd95bf548ecaa;0.08573403761444735,0.07849608510808034,0.06653547579090567,0.05150308953109189,0.03545448076365365,0.02055645059138511,0.008794438143199905,0.0017157465102746535;0.16346251206620696,0.16346251206620696,0.16346251206620696,0.16346251206620696,0.16346251206620696,0.16346251206620696,0.16346251206620696,0.16346251206620696
66;02eb47b05052e2c3d4daca8647b7d68e;0.0634302077199298,0.0634302077199298,0.0634302077199298,0.0634302077199298,0.0634302077199298,0.0634302077199298,0.0634302077199298,0.0634302077199298;0.0009779910383290464,0.0050043258147471235,0.011664113373159778,0.020045500032118555,0.02900728781523768,0.03733936016244377,0.04392625534911373,0.04789413637400015
67;66dc3f35dd08f2cd0316cdf1bcc43fa6;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.6551284338413231,0.6123247027656658,0.5478530096860947,0.4762539647710318,0.40939535757509227,0.35463657458201353,0.31560112491639575,0.2936796894506932
68;4c1cd81676520082469f5b61898429a0;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.34487156615867687,0.3876752972343341,0.4521469903139052,0.523746035228968,0.5906046424249074,0.6453634254179864,0.6843988750836041,0.7063203105493067
69;3fcff45cdb5d88e46f5a3a13983bfb63;0.6775141690066883,0.6395488474317697,0.5713736372988435,0.4744865299823958,0.35416506480858856,0.22277504527131586,0.10215339343137425,0.02083004307045694;0.6978473697797721,0.6978473697797721,0.6978473697797721,0.6978473697797721,0.6978473697797721,0.6978473697797721,0.6978473697797721,0.6978473697797721
70;f250352716bf4bf8e724340fcd1a211f;0.4568015820724443,0.434517149357359,0.3936288974704608,0.3335124850465421,0.2553727084995331,0.1652978100442297,0.07787325386088667,0.016177829554845827;0.6487903225806451,0.6487903225806451,0.6487903225806451,0.6487903225806451,0.6487903225806451,0.6487903225806451,0.6487903225806451,0.6487903225806451
71;efe0829aba793524eac68ab4716dd7a2;0.6013735859256548,0.5700361125602177,0.5142541129401308,0.43604769474161875,0.34063048885736175,0.2385334152283441,0.14667514978196106,0.0857285450753692;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
72;8c47dd112252c6fa7a88de325de76a68;0.39862641407434507,0.42996388743978214,0.48574588705986904,0.563952305258381,0.6593695111426382,0.761466584771656,0.8533248502180386,0.9142714549246308;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
73;b37889c15a1ebc760ffd20eef10fe098;0.39438431057317486,0.37313275309180083,0.3347267477092472,0.2796000107243187,0.21023163352985058,0.13330829354318874,0.06158571673727254,0.012621563805565655;0.6153114546209851,0.6153114546209851,0.6153114546209851,0.6153114546209851,0.6153114546209851,0.6153114546209851,0.6153114546209851,0.6153114546209851
74;2b8f9bdf4dcbc51156dd8bec51c89107;0.945548941114157,0.9075383200570365,0.8471213356066187,0.7751405798235195,0.7027616515984708,0.6393558966530716,0.5916748470308635,0.5639304225312939;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
75;b30d09cf8ecf90ca944eb552a0e247b7;0.054451058885842896,0.09246167994296338,0.15287866439338116,0.22485942017648042,0.2972383484015291,0.3606441033469284,0.4083251529691364,0.436069577468706;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
76;d59209aa52dc5f85f89cb91d2a0d09ad;0.6693758429092853,0.6533664441580302,0.627226076507246,0.5949170222365188,0.5610759834603122,0.5302472179550319,0.5062963084582598,0.49204389921026936;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
77;4241b712bf08fde7eef6dd8788ea8be0;0.3306241570907147,0.34663355584196975,0.3727739234927538,0.4050829777634812,0.4389240165396879,0.4697527820449679,0.49370369154174004,0.5079561007897306;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
78;cbdec2d80700aca54a81954e6b6c0d78;0.33565442317640953,0.33565442317640953,0.33565442317640953,0.33565442317640953,0.33565442317640953,0.33565442317640953,0.33565442317640953,0.33565442317640953;0.008121472660668113,0.04051580426558293,0.09067625969138621,0.1484001364528511,0.20432532887550697,0.2516622035244413,0.28628722087779057,0.3060635669886631
79;fd3a4b3911448c5dd76594b41cd21fdf;0.7301063467966143,0.6709145856622286,0.580199490376349,0.47719424817965383,0.3787871484155419,0.29653914644369617,0.23697570724139294,0.20317937519622511;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
80;5d11325e08f5afa343e57d1ca4894c29;0.26989365320338565,0.32908541433777133,0.4198005096236509,0.5228057518203462,0.6212128515844579,0.7034608535563038,0.763024292758607,0.7968206248037748;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
81;3a343f4595923ecb47eeaf4a6ac2b69b;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.5565541187112497,0.5319033179776352,0.4888724132444991,0.4303067151734538,0.36150414903498074,0.2909264265555155,0.2299541869584491,0.19075295915299925
82;df4c5ed86a271f45892ba72f4b77da97;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.4434458812887503,0.46809668202236476,0.5111275867555011,0.569693284826546,0.6384958509650192,0.7090735734444845,0.7700458130415508,0.8092470408470007
83;61d36dea2fa357634717e1d588203e1a;0.35060671732550575,0.35060671732550575,0.35060671732550575,0.35060671732550575,0.35060671732550575,0.35060671732550575,0.35060671732550575,0.35060671732550575;0.00568814183050004,0.029503243534959377,0.07035497610420541,0.1245299506505951,0.1861644844317019,0.24724192217965127,0.29834022185464826,0.3304103254095158
